,Name,Link,Distance,Date,id_course,Year,nom,annee,nb_pts_mont,pays,type_partic,pct_route,pct_piste,pct_sentier,challenge,championnat,inscr_nb,inscr_dt_min,inscr_dt_max,inscr_sur_place,inscr_tarif,inscr_tarif_devise,nb_etp,latitude,longitude,pays_arrivee,ville_depart,ville_arrivee,pays_depart,inscr_site,heure_depart,dist_tot,deniv_tot,deniv_neg_tot,nb_pts,temps_max
6417,Trail Du Barrage 2021 - 22km 21.80 K,https://itra.run/race/27570,21.80 km, 30/05/2021,27570,2021,22km,2021,4,BE,solo,1,0,99,,,0,2020-11-01,2020-11-01,0,0.0,EUR,1,0.0,0.0,BE,La Roche-en-Ardenne,La Roche-en-Ardenne,BE,https://sportevents.be/index.php?route=common/homese&manufacturer_id=12&tracking_marketing=5d778568f27c,2021-05-30 10:00:00,21.80,940,940,1,0
6418,Ultra Tour Du Môle 2021 35.60 K,https://itra.run/race/4712,35.60 km, 30/05/2021,4712,2021,Ultra Tour du Môle,2021,,FR,solo,5,5,90,,,400,2020-11-27,2021-05-21,0,0.0,0,1,46.0904,6.49929,,marignier,marignier,,http://www.utmtrail.com/-Incriptions-.html,2021-05-30 07:30:00,35.60,3210,3200,-1,30600
6419,Ultra Tour Du Môle 2021 - Ultra Verticale Du Môle 6.00 K,https://itra.run/race/20099,6.00 km, 30/05/2021,20099,2021,Ultra Verticale DU Môle,2021,,FR,solo,0,0,100,,,94,2020-12-29,2021-05-23,1,0.0,0,1,46.0904,6.49929,,Marignier,Marignier,,http://,2021-05-30 09:30:00,6.00,1380,10,-1,0
6420,Blizko Trail 2021 - Blizko 54k 54.40 K,https://itra.run/race/17451,54.40 km, 30/05/2021,17451,2021,Blizko 54K,2021,1,RU,solo,2,8,90,,,100,2020-11-01,2021-05-29,1,11.0,USD,1,55.7363,7.86812,RU,Moscow,Moscow,RU,http://events.blizkotrail.ru/BlizkoTrail2021,2021-05-30 09:00:00,54.40,400,400,2,32400
6421,Blizko Trail 2021 - Blizko 13k 13.00 K,https://itra.run/race/17447,13.00 km, 30/05/2021,17447,2021,Blizko 13K,2021,1,RU,solo,0,5,95,,,300,2020-10-01,2021-05-29,1,11.0,USD,1,55.7504,37.6175,RU,Moscow,Moscow,RU,http://events.blizkotrail.ru/BlizkoTrail2021,2021-05-30 10:30:00,13.00,100,100,0,9000
6422,Blizko Trail 2021 - Blizko 27k 27.20 K,https://itra.run/race/17449,27.20 km, 30/05/2021,17449,2021,Blizko 27K,2021,1,RU,solo,2,50,48,,,300,2020-11-01,2021-05-29,1,16.0,USD,1,55.7504,37.6175,RU,Moscow,Moscow,RU,http://events.blizkotrail.ru/BlizkoTrail2021,2021-05-30 10:00:00,27.20,200,200,1,16200
6423,"Blizko Trail 2021 - Blizko Relay, Stage 1 13.60 K",https://itra.run/race/27834,13.60 km, 30/05/2021,27834,2021,"Blizko Relay, Stage 1",2021,2,RU,solo,0,50,50,,,50,2020-11-01,2021-05-29,0,43.0,USD,1,0.0,0.0,RU,Moscow,Moscow,RU,http://blizkotrail.ru/blizko,2021-05-30 10:30:00,13.60,150,150,0,9000
6424,"Blizko Trail 2021 - Blizko Relay, Stage 2 13.60 K",https://itra.run/race/27835,13.60 km, 30/05/2021,27835,2021,"Blizko Relay, Stage 2",2021,2,RU,solo,0,50,50,,,50,2020-11-01,2021-05-29,0,43.0,USD,1,0.0,0.0,RU,Moscow,Moscow,RU,http://blizkotrail.ru/blizko,2021-05-30 10:30:00,13.60,150,150,0,9000
6425,"Blizko Trail 2021 - Blizko Relay, Stage 3 13.60 K",https://itra.run/race/27836,13.60 km, 30/05/2021,27836,2021,"Blizko Relay, Stage 3",2021,2,RU,solo,0,50,50,,,50,2020-11-01,2021-05-29,0,43.0,USD,1,0.0,0.0,RU,Moscow,Moscow,RU,http://blizkotrail.ru/blizko,2021-05-30 10:30:00,13.60,150,150,0,73800
6426,Globallimits Bhutan - The Last Secret - 2021 202.20 K,https://itra.run/race/9841,202.20 km, 30/05/2021,9841,2021,GlobalLimits Bhutan - The Last Secret -,2021,7,BT,solo,15,0,85,,,50,2020-06-13,2021-04-10,1,0.0,0,6,27.467,89.6375,,Punakha,Paro,,http://www.global-limits.com,2021-05-30 08:00:00,202.20,8900,7050,5,0
