,Name,Link,Distance,Date,id_course,nom,annee,nb_pts_mont,pays,type_partic,pct_route,pct_piste,pct_sentier,challenge,championnat,inscr_nb,inscr_dt_min,inscr_dt_max,inscr_sur_place,inscr_tarif,inscr_tarif_devise,nb_etp,latitude,longitude,pays_arrivee,ville_depart,ville_arrivee,pays_depart,inscr_site,heure_depart,dist_tot,deniv_tot,deniv_neg_tot,nb_pts,temps_max
9004,X-Treme Run Gramado 2021 - X-Treme Run - Longa 25k 25.60 K,https://itra.run/race/21503,25.60 km, 16/10/2021,21503,X-Treme Run - Longa 25k,2020,,BR,solo,17,43,40,,,300,2020-01-04,2020-09-11,1,70.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/x-treme-run-gramado,2020-10-10 08:00:00,25.60,1020,1020,-1,19800
9005,X-Treme Run Gramado 2021 - X-Treme Run - Longa 25k 25.60 K,https://itra.run/race/21503,25.60 km, 16/10/2021,21503,X-Treme Run - Longa 25k,2020,,BR,solo,17,43,40,,,300,2020-01-04,2020-09-11,1,70.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/x-treme-run-gramado,2020-10-10 08:00:00,25.60,1020,1020,-1,19800
9006,X-Treme Run Gramado 2020 - X-Treme Run - Media 12k 13.40 K,https://itra.run/race/21505,13.40 km, 10/10/2020,21505,X-Treme Run - Media 12k,2020,,BR,solo,15,35,50,,,300,2020-01-04,2020-09-11,1,50.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/events/x-treme-run-2019,2020-10-10 09:00:00,13.40,530,530,-1,9600
9007,X-Treme Run Gramado 2020 - X-Treme Run - Media 12k 13.40 K,https://itra.run/race/21505,13.40 km, 10/10/2020,21505,X-Treme Run - Media 12k,2020,,BR,solo,15,35,50,,,300,2020-01-04,2020-09-11,1,50.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/events/x-treme-run-2019,2020-10-10 09:00:00,13.40,530,530,-1,9600
9008,X-Treme Run Gramado 2021 - X-Treme Run - Media 12k 13.40 K,https://itra.run/race/21505,13.40 km, 16/10/2021,21505,X-Treme Run - Media 12k,2020,,BR,solo,15,35,50,,,300,2020-01-04,2020-09-11,1,50.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/events/x-treme-run-2019,2020-10-10 09:00:00,13.40,530,530,-1,9600
9009,X-Treme Run Gramado 2021 - X-Treme Run - Media 12k 13.40 K,https://itra.run/race/21505,13.40 km, 16/10/2021,21505,X-Treme Run - Media 12k,2020,,BR,solo,15,35,50,,,300,2020-01-04,2020-09-11,1,50.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/events/x-treme-run-2019,2020-10-10 09:00:00,13.40,530,530,-1,9600
9010,X-Treme Run Gramado 2020 - X-Treme Run - Ultra 50k 54.30 K,https://itra.run/race/21507,54.30 km, 10/10/2020,21507,X-Treme Run - Ultra 50k,2020,,BR,solo,22,38,40,,,300,2020-01-04,2020-09-11,1,90.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/x-treme-run-gramado,2020-10-10 07:00:00,54.30,2240,2240,-1,36000
9011,X-Treme Run Gramado 2020 - X-Treme Run - Ultra 50k 54.30 K,https://itra.run/race/21507,54.30 km, 10/10/2020,21507,X-Treme Run - Ultra 50k,2020,,BR,solo,22,38,40,,,300,2020-01-04,2020-09-11,1,90.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/x-treme-run-gramado,2020-10-10 07:00:00,54.30,2240,2240,-1,36000
9012,X-Treme Run Gramado 2021 - X-Treme Run - Ultra 50k 54.30 K,https://itra.run/race/21507,54.30 km, 16/10/2021,21507,X-Treme Run - Ultra 50k,2020,,BR,solo,22,38,40,,,300,2020-01-04,2020-09-11,1,90.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/x-treme-run-gramado,2020-10-10 07:00:00,54.30,2240,2240,-1,36000
9013,X-Treme Run Gramado 2021 - X-Treme Run - Ultra 50k 54.30 K,https://itra.run/race/21507,54.30 km, 16/10/2021,21507,X-Treme Run - Ultra 50k,2020,,BR,solo,22,38,40,,,300,2020-01-04,2020-09-11,1,90.0,USD,1,-29.3787,-50.8725,BR,Gramado,Gramado,BR,https://www.th2eventos.com.br/x-treme-run-gramado,2020-10-10 07:00:00,54.30,2240,2240,-1,36000
